Date,Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip.Rate.,Precip. Accum.,UV,Solar
"April 4, 2016",12:00 AM,65.7 F,60.1 F,82 %,SW,0.0 mph,0.0 mph,30.11 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",12:05 AM,65.3 F,60.1 F,83 %,SW,0.0 mph,0.0 mph,30.11 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",12:11 AM,65.3 F,60.1 F,83 %,SW,0.0 mph,0.0 mph,30.11 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",12:17 AM,65.3 F,60.1 F,83 %,SW,0.0 mph,0.0 mph,30.11 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",12:23 AM,65.3 F,60.3 F,84 %,SW,0.0 mph,0.0 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",12:29 AM,65.3 F,60.3 F,84 %,SW,0.0 mph,0.0 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",12:35 AM,65.1 F,60.1 F,84 %,SW,0.0 mph,0.0 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",12:41 AM,65.1 F,60.1 F,84 %,SW,0.0 mph,0.0 mph,30.11 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",12:47 AM,64.9 F,60.3 F,85 %,SW,0.0 mph,0.7 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",12:52 AM,64.9 F,60.6 F,86 %,SW,0.0 mph,0.0 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",1:04 AM,64.9 F,60.3 F,85 %,SW,0.0 mph,0.0 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",1:10 AM,64.8 F,60.1 F,85 %,SW,0.0 mph,0.7 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",1:16 AM,64.8 F,60.1 F,85 %,SW,0.0 mph,0.0 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",1:22 AM,64.6 F,59.9 F,85 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",1:34 AM,64.6 F,60.3 F,86 %,SW,0.0 mph,0.0 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",1:39 AM,64.8 F,60.4 F,86 %,SW,0.7 mph,0.7 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",1:45 AM,65.3 F,61.0 F,86 %,SW,0.7 mph,1.6 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",1:51 AM,65.1 F,60.4 F,85 %,SW,0.0 mph,0.0 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",2:03 AM,64.8 F,59.9 F,84 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",2:09 AM,64.6 F,59.9 F,85 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",2:15 AM,64.4 F,59.7 F,85 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",2:20 AM,64.0 F,59.2 F,84 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",2:26 AM,64.0 F,59.4 F,85 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",2:32 AM,63.9 F,59.5 F,86 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",2:38 AM,64.0 F,60.4 F,88 %,SW,0.0 mph,0.7 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",2:44 AM,64.2 F,60.6 F,88 %,West,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",2:50 AM,64.4 F,60.4 F,87 %,West,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",2:56 AM,64.4 F,60.4 F,87 %,West,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",3:02 AM,64.2 F,60.3 F,87 %,SW,0.7 mph,0.7 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",3:07 AM,64.4 F,60.8 F,88 %,SW,0.0 mph,0.7 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",3:13 AM,64.4 F,60.8 F,88 %,SW,0.0 mph,0.7 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",3:19 AM,64.2 F,60.3 F,87 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",3:25 AM,64.2 F,60.3 F,87 %,SW,0.0 mph,0.7 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",3:31 AM,64.0 F,60.1 F,87 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",3:37 AM,63.7 F,59.7 F,87 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",3:43 AM,63.3 F,59.7 F,88 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",3:49 AM,63.1 F,59.5 F,88 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",3:54 AM,63.1 F,59.9 F,89 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",4:00 AM,63.1 F,59.9 F,89 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",4:06 AM,63.1 F,60.1 F,90 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",4:12 AM,63.1 F,60.4 F,91 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",4:18 AM,63.0 F,60.3 F,91 %,SW,0.0 mph,0.0 mph,30.08 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",4:24 AM,63.0 F,60.3 F,91 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",4:30 AM,62.6 F,60.3 F,92 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",4:36 AM,62.6 F,60.3 F,92 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",4:41 AM,62.6 F,60.3 F,92 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",4:47 AM,62.2 F,60.4 F,94 %,SW,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",4:53 AM,62.6 F,60.6 F,93 %,NE,0.0 mph,0.0 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",4:59 AM,62.8 F,61.0 F,94 %,East,0.0 mph,0.7 mph,30.09 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",5:05 AM,62.6 F,60.8 F,94 %,East,0.0 mph,0.0 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
"April 4, 2016",5:11 AM,62.6 F,60.8 F,94 %,South,0.0 mph,0.7 mph,30.10 in,0.00 in,0.00 in,0,0 w/m\xc2\xb2 
