uid,utctime,microseconds,original,omicroseconds,card,readerid,address,scancount,type,transition,ttype
9F B2 92 05 08 00 12 E0,2016-04-04 15:24:01,536000,2005-01-29 19:57:01,536000,Maja_2005-01-28_07-38-56,44059,6,1,177,0,start 44059
9F B2 92 05 08 00 12 E0,2016-04-04 15:24:02,18000,2005-01-29 19:57:02,18000,Maja_2005-01-28_07-38-56,44059,6,1,177,0.482,44059->44059
9F B2 92 05 08 00 12 E0,2016-04-04 15:24:02,482000,2005-01-29 19:57:02,482000,Maja_2005-01-28_07-38-56,44059,6,1,177,0.464,44059->44059
9F B2 92 05 08 00 12 E0,2016-04-04 15:24:29,131000,2005-01-29 19:57:29,131000,Maja_2005-01-28_07-38-56,44064,4,1,177,26.649,44059->44064
9F B2 92 05 08 00 12 E0,2016-04-04 15:24:29,627000,2005-01-29 19:57:29,627000,Maja_2005-01-28_07-38-56,44064,4,1,177,0.496,44064->44064
9F B2 92 05 08 00 12 E0,2016-04-04 15:24:30,122000,2005-01-29 19:57:30,122000,Maja_2005-01-28_07-38-56,44064,4,1,177,0.495,44064->44064
9F B2 92 05 08 00 12 E0,2016-04-04 15:24:30,613000,2005-01-29 19:57:30,613000,Maja_2005-01-28_07-38-56,44064,4,1,177,0.491,44064->44064
9F B2 92 05 08 00 12 E0,2016-04-04 15:24:31,108000,2005-01-29 19:57:31,108000,Maja_2005-01-28_07-38-56,44064,4,1,177,0.495,44064->44064
9F B2 92 05 08 00 12 E0,2016-04-04 15:24:32,642000,2005-01-29 19:57:32,642000,Maja_2005-01-28_07-38-56,44064,4,1,177,1.534,44064->44064
9F B2 92 05 08 00 12 E0,2016-04-04 15:24:34,175000,2005-01-29 19:57:34,175000,Maja_2005-01-28_07-38-56,44064,4,1,177,1.533,44064->44064
9F B2 92 05 08 00 12 E0,2016-04-04 15:24:34,703000,2005-01-29 19:57:34,703000,Maja_2005-01-28_07-38-56,44064,4,1,177,0.528,44064->44064
9F B2 92 05 08 00 12 E0,2016-04-04 15:24:35,193000,2005-01-29 19:57:35,193000,Maja_2005-01-28_07-38-56,44064,4,1,177,0.49,44064->44064
9F B2 92 05 08 00 12 E0,2016-04-04 15:24:44,606000,2005-01-29 19:57:44,606000,Maja_2005-01-28_07-38-56,44059,6,1,177,9.413,44064->44059
9F B2 92 05 08 00 12 E0,2016-04-04 15:25:16,142000,2005-01-29 19:58:16,142000,Maja_2005-01-28_07-38-56,44059,6,1,177,31.536,44059->44059
9F B2 92 05 08 00 12 E0,2016-04-04 15:25:16,632000,2005-01-29 19:58:16,632000,Maja_2005-01-28_07-38-56,44059,6,1,177,0.49,44059->44059
9F B2 92 05 08 00 12 E0,2016-04-04 15:25:17,124000,2005-01-29 19:58:17,124000,Maja_2005-01-28_07-38-56,44059,6,1,177,0.492,44059->44059
9F B2 92 05 08 00 12 E0,2016-04-04 15:25:17,619000,2005-01-29 19:58:17,619000,Maja_2005-01-28_07-38-56,44059,6,1,177,0.495,44059->44059
